out:sDA,out:ID,Link_E1a
0.388889,E1a-0.8-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/4nkR5rz1/E1a-0-8-S-0-8-0-O-0-8-6028-No-daylight.png
0.214286,E1a-0.6-S-0.8-0_O-0.8-6028-No,https://i.postimg.cc/Px7jLLJ4/E1a-0-6-S-0-8-0-O-0-8-6028-No-daylight.png
0.555556,E1a-1.4-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/rw9zDJkb/E1a-1-4-S-0-8-0-O-0-8-5123-No-daylight.png
0.492063,E1a-1.2-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/QNRFwCSL/E1a-1-2-S-0-8-0-O-0-8-5123-No-daylight.png
0.420635,E1a-1.0-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/k425hPts/E1a-1-S-0-8-0-O-0-8-5123-No-daylight.png
0.301588,E1a-0.8-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/hhWRrH98/E1a-0-8-S-0-8-0-O-0-8-5123-No-daylight.png
0.134921,E1a-0.6-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/qRFTttqx/E1a-0-6-S-0-8-0-O-0-8-5123-No-daylight.png
0.468254,E1a-1.4-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/mgShPw4G/E1a-1-4-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.444444,E1a-1.2-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/BZdjkbNG/E1a-1-2-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.492063,E1a-1.0-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/LXJs0FZy/E1a-1-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.357143,E1a-0.8-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/qgVHL98w/E1a-0-8-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.214286,E1a-0.6-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/KzW2KKjQ/E1a-0-6-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.428572,E1a-1.4-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/x1PqXRQD/E1a-1-4-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.388889,E1a-1.2-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/zD9y6vpZ/E1a-1-2-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.404762,E1a-1.0-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/zByfPYRj/E1a-1-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.293651,E1a-0.8-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/c6yGmVQB/E1a-0-8-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.134921,E1a-0.6-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/sXLrBBxT/E1a-0-6-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.857143,E1a-1.4-S-0-15_O-0-6028-No,https://i.postimg.cc/TPY1gD2d/E1a-1-4-S-0-15-O-0-6028-No-daylight.png
0.769841,E1a-1.2-S-0-15_O-0-6028-No,https://i.postimg.cc/MKVnSwr6/E1a-1-2-S-0-15-O-0-6028-No-daylight.png
0.674603,E1a-1.0-S-0-15_O-0-6028-No,https://i.postimg.cc/xCXdFVzf/E1a-1-S-0-15-O-0-6028-No-daylight.png
0.579365,E1a-0.8-S-0-15_O-0-6028-No,https://i.postimg.cc/QNBBf1QN/E1a-0-8-S-0-15-O-0-6028-No-daylight.png
0.47619,E1a-0.6-S-0-15_O-0-6028-No,https://i.postimg.cc/Tws6yyhT/E1a-0-6-S-0-15-O-0-6028-No-daylight.png
0.722222,E1a-1.4-S-0-15_O-0-5123-No,https://i.postimg.cc/7LYh02PD/E1a-1-4-S-0-15-O-0-5123-No-daylight.png
0.650794,E1a-1.2-S-0-15_O-0-5123-No,https://i.postimg.cc/ZKpWSmDZ/E1a-1-2-S-0-15-O-0-5123-No-daylight.png
0.595238,E1a-1.0-S-0-15_O-0-5123-No,https://i.postimg.cc/wv1BbYmH/E1a-1-S-0-15-O-0-5123-No-daylight.png
0.492063,E1a-0.8-S-0-15_O-0-5123-No,https://i.postimg.cc/CMZZckGw/E1a-0-8-S-0-15-O-0-5123-No-daylight.png
0.380953,E1a-0.6-S-0-15_O-0-5123-No,https://i.postimg.cc/sXLrBB1z/E1a-0-6-S-0-15-O-0-5123-No-daylight.png
0.84127,E1a-1.4-S-0-15_O-0-6028-Yes,https://i.postimg.cc/8CPcM6kP/E1a-1-4-S-0-15-O-0-6028-Yes-daylight.png
0.761905,E1a-1.2-S-0-15_O-0-6028-Yes,https://i.postimg.cc/RVKWBmbC/E1a-1-2-S-0-15-O-0-6028-Yes-daylight.png
0.674603,E1a-1.0-S-0-15_O-0-6028-Yes,https://i.postimg.cc/pTmd1MFP/E1a-1-S-0-15-O-0-6028-Yes-daylight.png
0.587302,E1a-0.8-S-0-15_O-0-6028-Yes,https://i.postimg.cc/xjkk6MvT/E1a-0-8-S-0-15-O-0-6028-Yes-daylight.png
0.468254,E1a-0.6-S-0-15_O-0-6028-Yes,https://i.postimg.cc/V6h8SS5Y/E1a-0-6-S-0-15-O-0-6028-Yes-daylight.png
0.714286,E1a-1.4-S-0-15_O-0-5123-Yes,https://i.postimg.cc/rpFsxryq/E1a-1-4-S-0-15-O-0-5123-Yes-daylight.png
0.65873,E1a-1.2-S-0-15_O-0-5123-Yes,https://i.postimg.cc/qMyNTrZp/E1a-1-2-S-0-15-O-0-5123-Yes-daylight.png
0.587302,E1a-1.0-S-0-15_O-0-5123-Yes,https://i.postimg.cc/G24pSnyd/E1a-1-S-0-15-O-0-5123-Yes-daylight.png
0.492063,E1a-0.8-S-0-15_O-0-5123-Yes,https://i.postimg.cc/VsSSKnqm/E1a-0-8-S-0-15-O-0-5123-Yes-daylight.png
0.380953,E1a-0.6-S-0-15_O-0-5123-Yes,https://i.postimg.cc/SsPhXXjk/E1a-0-6-S-0-15-O-0-5123-Yes-daylight.png
0.777778,E1a-1.4-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/htnf4YHJ/E1a-1-4-S-0-2-15-O-0-2-6028-No-daylight.png
0.722222,E1a-1.2-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/wxttwLXR/E1a-1-2-S-0-2-15-O-0-2-6028-No-daylight.png
0.611111,E1a-1.0-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/258yhZjZ/E1a-1-S-0-2-15-O-0-2-6028-No-daylight.png
0.547619,E1a-0.8-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/br2j1z2Y/E1a-0-8-S-0-2-15-O-0-2-6028-No-daylight.png
0.420635,E1a-0.6-S-0.2-15_O-0.2-6028-No,https://i.postimg.cc/252mD9DC/E1a-0-6-S-0-2-15-O-0-2-6028-No-daylight.png
0.666667,E1a-1.4-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/GmRH3fZp/E1a-1-4-S-0-2-15-O-0-2-5123-No-daylight.png
0.611111,E1a-1.2-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/zDLLxKCb/E1a-1-2-S-0-2-15-O-0-2-5123-No-daylight.png
0.539683,E1a-1.0-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/xdT8Mzjb/E1a-1-S-0-2-15-O-0-2-5123-No-daylight.png
0.444444,E1a-0.8-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/3NDH2KDK/E1a-0-8-S-0-2-15-O-0-2-5123-No-daylight.png
0.325397,E1a-0.6-S-0.2-15_O-0.2-5123-No,https://i.postimg.cc/YSbkHDH2/E1a-0-6-S-0-2-15-O-0-2-5123-No-daylight.png
0.444444,E1a-1.4-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/nhxCVW6X/E1a-1-4-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.452381,E1a-1.2-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/c1KKFwRn/E1a-1-2-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.619048,E1a-1.0-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/BvQbHKZH/E1a-1-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.436508,E1a-0.8-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/Bb1G2q1S/E1a-0-8-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.380953,E1a-0.6-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/wB0Hp4p6/E1a-0-6-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.436508,E1a-1.4-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/Cx0zM2WB/E1a-1-4-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.444444,E1a-1.2-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/PfLLSYW8/E1a-1-2-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.539683,E1a-1.0-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/9fF0Z7XT/E1a-1-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.388889,E1a-0.8-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/5yFM8xFf/E1a-0-8-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.325397,E1a-0.6-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/5tn1VKV4/E1a-0-6-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.722222,E1a-1.4-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/Vkwdsh3B/E1a-1-4-S-0-4-15-O-0-4-6028-No-daylight.png
0.65873,E1a-1.2-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/L4qqxLtT/E1a-1-2-S-0-4-15-O-0-4-6028-No-daylight.png
0.579365,E1a-1.0-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/bvCJTwdb/E1a-1-S-0-4-15-O-0-4-6028-No-daylight.png
0.484127,E1a-0.8-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/90qjyWq7/E1a-0-8-S-0-4-15-O-0-4-6028-No-daylight.png
0.349206,E1a-0.6-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/fLysT7zV/E1a-0-6-S-0-4-15-O-0-4-6028-No-daylight.png
0.626985,E1a-1.4-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/3xhdrqP2/E1a-1-4-S-0-4-15-O-0-4-5123-No-daylight.png
0.563492,E1a-1.2-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/DfWWxLrP/E1a-1-2-S-0-4-15-O-0-4-5123-No-daylight.png
0.492063,E1a-1.0-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/N0JM4jLX/E1a-1-S-0-4-15-O-0-4-5123-No-daylight.png
0.380953,E1a-0.8-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/MHj81WjM/E1a-0-8-S-0-4-15-O-0-4-5123-No-daylight.png
0.253968,E1a-0.6-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/d13FtRst/E1a-0-6-S-0-4-15-O-0-4-5123-No-daylight.png
0.444444,E1a-1.4-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/Cx0zM2W4/E1a-1-4-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.468254,E1a-1.2-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/h4JJ2TLs/E1a-1-2-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.587302,E1a-1.0-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/SKTsrxjC/E1a-1-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.404762,E1a-0.8-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/rstL58t4/E1a-0-8-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.349206,E1a-0.6-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/C150LChz/E1a-0-6-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.444444,E1a-1.4-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/52J69rZS/E1a-1-4-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.436508,E1a-1.2-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/59HHsLBm/E1a-1-2-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.492063,E1a-1.0-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/xdxCR1qz/E1a-1-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.36508,E1a-0.8-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/tJVHFXVn/E1a-0-8-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.261905,E1a-0.6-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/PxJHrbXq/E1a-0-6-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.698413,E1a-1.4-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/Z5L0WcSH/E1a-1-4-S-0-6-15-O-0-6-6028-No-daylight.png
0.611111,E1a-1.2-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/2jP1MyGc/E1a-1-2-S-0-6-15-O-0-6-6028-No-daylight.png
0.531746,E1a-1.0-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/zftBjG3x/E1a-1-S-0-6-15-O-0-6-6028-No-daylight.png
0.428572,E1a-0.8-S-0.6-15_O-0.6-6028-No,https://i.postimg.cc/MX2JDhyQ/E1a-0-8-S-0-6-15-O-0-6-6028-No-daylight.png
