out:sDA,out:ID,Link_E1c
0.555556,E1c-1.4-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/sfBc5B1q/E1c-1-4-S-0-8-0-O-0-8-5123-No-daylight.png
0.492063,E1c-1.2-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/Hn7Vj1YJ/E1c-1-2-S-0-8-0-O-0-8-5123-No-daylight.png
0.420635,E1c-1.0-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/QdDJL0mz/E1c-1-S-0-8-0-O-0-8-5123-No-daylight.png
0.301588,E1c-0.8-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/R0M6dYdh/E1c-0-8-S-0-8-0-O-0-8-5123-No-daylight.png
0.134921,E1c-0.6-S-0.8-0_O-0.8-5123-No,https://i.postimg.cc/VkPbrvbm/E1c-0-6-S-0-8-0-O-0-8-5123-No-daylight.png
0.468254,E1c-1.4-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/BZ8g28td/E1c-1-4-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.444444,E1c-1.2-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/yxSkWC19/E1c-1-2-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.492063,E1c-1.0-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/htn1FpsH/E1c-1-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.357143,E1c-0.8-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/mrbzjnjz/E1c-0-8-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.214286,E1c-0.6-S-0.8-0_O-0.8-6028-Yes,https://i.postimg.cc/XY6yGqyJ/E1c-0-6-S-0-8-0-O-0-8-6028-Yes-daylight.png
0.428572,E1c-1.4-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/8kFHLFs2/E1c-1-4-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.388889,E1c-1.2-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/D0b8m3vJ/E1c-1-2-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.404762,E1c-1.0-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/7Z4nvm9c/E1c-1-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.293651,E1c-0.8-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/5txYgrgH/E1c-0-8-S-0-8-0-O-0-8-5123-Yes-daylight.png
